id,source_record_id,vendor,amount,currency,status,created_at,due_date
ID-0001,SOU-0001,Apex Facilities,9200.25,USD,pending,2026-05-09,2026-06-09
ID-0002,SOU-0002,Northstar Logistics,144000,USD,approved,2026-05-10,2026-06-12
ID-0003,SOU-0003,Summit Software,31800.5,USD,paid,2026-05-11,2026-06-15
ID-0004,SOU-0004,Vertex Components,7600,USD,rejected,2026-05-12,2026-06-18
ID-0005,SOU-0005,Fritsch LLC,35984.95,EUR,paid,2022-11-12,2022-02-07
ID-0006,SOU-0006,Durgan Group,46722.64,USD,paid,2021-04-29,2022-04-15
ID-0007,SOU-0007,"Koelpin, Carter and Lemke",3362.64,USD,approved,2020-12-19,2023-12-09
ID-0008,SOU-0008,"Bernhard, Moore and Blick",35531.15,USD,approved,2025-01-01,2024-11-20
ID-0009,SOU-0009,Breitenberg Inc,41375.93,USD,approved,2020-06-02,2022-05-16
ID-0010,SOU-0010,Bauch - Thiel,55748.35,USD,approved,2024-05-22,2025-10-01
ID-0011,SOU-0011,Von - Jacobson,75264.55,USD,approved,2022-07-28,2024-05-22
ID-0012,SOU-0012,"Lindgren, Hoeger and Sporer",48453.66,USD,pending,2023-06-10,2021-12-13
ID-0013,SOU-0013,Wolff - Rempel,34646.03,USD,paid,2025-09-06,2022-05-27
ID-0014,SOU-0014,"Balistreri-Mitchell, Carter and Mueller",22345.34,USD,approved,2022-07-03,2020-12-17
ID-0015,SOU-0015,Treutel - Bradtke,1757.58,USD,approved,2020-12-23,2021-05-27
ID-0016,SOU-0016,Collins-Feeney - Johnston,5157.18,USD,approved,2022-05-11,2020-03-03
ID-0017,SOU-0017,Haag Group,58876.39,USD,rejected,2023-04-07,2021-08-26
ID-0018,SOU-0018,"Hirthe, Kautzer and Fahey",22685.3,EUR,rejected,2020-07-28,2022-09-13
ID-0019,SOU-0019,Ebert and Sons,5224.25,USD,approved,2022-01-03,2022-05-14
ID-0020,SOU-0020,Schneider and Sons,15474.6,USD,pending,2022-03-02,2022-06-14
ID-0021,SOU-0021,"Huel, Nitzsche and Tremblay",29798.99,USD,approved,2021-06-11,2024-01-13
ID-0022,SOU-0022,"Hyatt, Hessel and Bode",99258.93,USD,rejected,2025-11-12,2024-10-06
ID-0023,SOU-0023,Green Inc,61977.06,USD,approved,2021-12-24,2023-05-21
ID-0024,SOU-0024,"Pfeffer, Satterfield and Batz",89002.35,JPY,pending,2021-04-06,2024-08-04
ID-0025,SOU-0025,Cassin - Stamm,32500.5,USD,approved,2023-08-15,2024-02-05
ID-0026,SOU-0026,Runte Group,69266.2,USD,approved,2024-06-25,2021-04-24
ID-0027,SOU-0027,Stanton - Heaney,47904.98,GBP,pending,2022-10-17,2020-01-30
ID-0028,SOU-0028,Murray - Daniel,29663.61,USD,rejected,2020-04-20,2025-05-05
ID-0029,SOU-0029,Bernhard Group,60131.11,USD,rejected,2022-06-10,2020-11-10
ID-0030,SOU-0030,"Price, Padberg and Grimes",211.09,USD,pending,2023-12-21,2023-10-21
ID-0031,SOU-0031,Hane LLC,55702.19,USD,pending,2020-07-25,2024-12-27
ID-0032,SOU-0032,"Jacobson, Carroll and Hermiston",25522.68,USD,approved,2025-02-08,2025-09-30
ID-0033,SOU-0033,Lowe Inc,60752.82,USD,pending,2020-07-27,2021-11-21
ID-0034,SOU-0034,Kilback-Lemke - McCullough-Schulist,32761.41,USD,approved,2024-01-14,2024-02-04
ID-0035,SOU-0035,Champlin - Prohaska,75371.87,GBP,approved,2024-05-19,2023-09-19
ID-0036,SOU-0036,Kihn - Dietrich,12642.42,JPY,pending,2022-11-14,2023-07-07
ID-0037,SOU-0037,Braun LLC,54480.05,USD,approved,2024-12-02,2020-04-01
ID-0038,SOU-0038,Hackett LLC,89803.74,EUR,approved,2024-05-19,2022-03-10
ID-0039,SOU-0039,Prohaska LLC,35926.29,GBP,draft,2021-11-23,2020-05-04
ID-0040,SOU-0040,"Padberg, Kling and Friesen",12132.69,USD,rejected,2022-04-08,2020-05-15
ID-0041,SOU-0041,Oberbrunner and Sons,45228.77,USD,approved,2020-09-09,2025-04-20
ID-0042,SOU-0042,Kihn LLC,6238.48,EUR,rejected,2023-11-23,2025-09-23
ID-0043,SOU-0043,McCullough - Cassin,39235.07,USD,paid,2021-04-02,2020-05-08
ID-0044,SOU-0044,Mayer Inc,80320.89,USD,draft,2023-05-25,2025-06-13
ID-0045,SOU-0045,Corwin Inc,59608.42,USD,rejected,2024-07-13,2023-07-09
ID-0046,SOU-0046,"Murray, Gottlieb and Swift",97096.94,USD,paid,2020-03-29,2022-06-07
ID-0047,SOU-0047,Osinski Inc,80986.54,JPY,draft,2025-11-23,2020-07-07
ID-0048,SOU-0048,"Kiehn, Becker and Hoppe",21711.64,USD,draft,2024-12-03,2024-12-16
ID-0049,SOU-0049,Luettgen and Sons,63182.73,EUR,approved,2022-06-26,2025-09-30
ID-0050,SOU-0050,Muller LLC,18565.35,USD,approved,2024-08-01,2023-02-21
ID-0051,SOU-0051,Kiehn - Douglas,38732.03,USD,pending,2023-01-26,2022-11-25
ID-0052,SOU-0052,Lakin Group,7208.45,USD,approved,2025-04-08,2023-05-07
ID-0053,SOU-0053,"Baumbach, O'Connell and Spinka",29731.58,USD,pending,2020-10-05,2020-09-27
ID-0054,SOU-0054,Zboncak LLC,94903.17,USD,pending,2023-04-30,2020-06-17
ID-0055,SOU-0055,Jenkins - Bailey,33603.62,USD,draft,2025-09-28,2023-08-06
ID-0056,SOU-0056,"Ferry, Schmeler and Krajcik",92251.19,USD,pending,2022-02-06,2024-09-11
ID-0057,SOU-0057,"Simonis, Jast and Schmidt",33485.85,EUR,approved,2023-06-21,2024-12-30
ID-0058,SOU-0058,"Pouros, Lowe and Zieme",13608.21,USD,pending,2020-10-18,2020-12-13
ID-0059,SOU-0059,"Zboncak, Ortiz and Herzog",59418.69,USD,pending,2022-10-31,2023-04-28
ID-0060,SOU-0060,Bailey Inc,78043.25,USD,pending,2024-03-03,2023-05-28
